Time [s];Altitude [ft];Latitude [°];Longitude [°]
49;5 459;NaN;NaN
49,2;5 407;NaN;NaN
49,5;5 361;NaN;NaN
49,8;5 312;NaN;NaN
50;5 262;NaN;NaN
50,2;5 207;NaN;NaN
50,5;5 151;NaN;NaN
50,8;5 092;NaN;NaN
51;5 036;NaN;NaN
51,2;4 980;NaN;NaN
51,5;4 928;NaN;NaN
51,8;4 875;NaN;NaN
52;4 829;NaN;NaN
52,2;4 787;NaN;NaN
52,5;4 747;NaN;NaN
52,8;4 695;NaN;NaN
53;4 639;NaN;NaN
53,2;4 583;NaN;NaN
53,5;4 537;NaN;NaN
53,8;4 488;NaN;NaN
54;4 446;NaN;NaN
54,2;4 406;NaN;NaN
54,5;4 364;NaN;NaN
54,8;4 327;NaN;NaN
55;4 281;NaN;NaN
55,2;4 229;NaN;NaN
55,5;4 177;NaN;NaN
55,8;4 131;NaN;NaN
56;4 091;NaN;NaN
56,2;4 055;NaN;NaN
56,5;4 019;NaN;NaN
56,8;3 983;NaN;NaN
57;3 944;NaN;NaN
57,2;3 904;NaN;NaN
57,5;3 862;NaN;NaN
57,8;3 816;NaN;NaN
58;3 766;NaN;NaN
58,2;3 714;NaN;NaN
58,5;3 665;NaN;NaN
58,8;3 625;NaN;NaN
59;3 586;NaN;NaN
59,2;3 547;NaN;NaN
59,5;3 507;NaN;NaN
59,8;3 461;NaN;NaN
60;3 419;NaN;NaN
60,2;3 376;NaN;NaN
60,5;3 337;NaN;NaN
60,8;3 301;NaN;NaN
61;3 271;NaN;NaN
61,2;3 241;NaN;NaN
61,5;3 212;NaN;NaN
61,8;3 176;NaN;NaN
62;3 143;NaN;NaN
62,2;3 110;NaN;NaN
62,5;3 071;NaN;NaN
62,8;3 038;NaN;NaN
63;3 009;NaN;NaN
63,2;2 979;NaN;NaN
63,5;2 949;NaN;NaN
63,8;2 930;NaN;NaN
64;2 907;NaN;NaN
64,2;2 884;NaN;NaN
64,5;2 867;NaN;NaN
64,8;2 848;NaN;NaN
65;2 831;NaN;NaN
65,2;2 815;NaN;NaN
65,5;2 802;NaN;NaN
65,8;2 785;NaN;NaN
66;2 776;NaN;NaN
66,2;2 759;NaN;NaN
66,5;2 749;NaN;NaN
66,8;2 740;NaN;NaN
67;2 730;NaN;NaN
67,2;2 720;NaN;NaN
67,5;2 713;NaN;NaN
67,8;2 703;NaN;NaN
68;2 694;NaN;NaN
68,2;2 687;NaN;NaN
68,5;2 684;NaN;NaN
68,8;2 677;NaN;NaN
69;2 671;NaN;NaN
69,2;2 664;NaN;NaN
69,5;2 657;NaN;NaN
69,8;2 654;NaN;NaN
70;2 651;NaN;NaN
70,2;2 648;NaN;NaN
70,5;2 641;NaN;NaN
70,8;2 638;NaN;NaN
71;2 635;NaN;NaN
71,2;2 631;NaN;NaN
71,5;2 625;NaN;NaN
71,8;2 621;NaN;NaN
72;2 621;NaN;NaN
72,2;2 615;NaN;NaN
72,5;2 612;NaN;NaN
72,8;2 605;NaN;NaN
73;2 602;NaN;NaN
73,2;2 595;NaN;NaN
73,5;2 592;NaN;NaN
73,8;2 589;NaN;NaN
74;2 585;NaN;NaN
74,2;2 579;NaN;NaN
74,5;2 575;NaN;NaN
74,8;2 569;NaN;NaN
75;2 562;NaN;NaN
75,2;2 559;NaN;NaN
75,5;2 556;NaN;NaN
75,8;2 549;NaN;NaN
76;2 546;NaN;NaN
76,2;2 539;NaN;NaN
76,5;2 533;NaN;NaN
76,8;2 530;NaN;NaN
77;2 526;NaN;NaN
77,2;2 523;NaN;NaN
77,5;2 516;NaN;NaN
77,8;2 513;NaN;NaN
78;2 507;NaN;NaN
78,2;2 503;NaN;NaN
78,5;2 503;NaN;NaN
78,8;2 497;NaN;NaN
79;2 493;NaN;NaN
79,2;2 487;NaN;NaN
79,5;2 484;NaN;NaN
79,8;2 477;NaN;NaN
80;2 474;NaN;NaN
80,2;2 470;NaN;NaN
