millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,accel,temp,press,num_satellites
# { "g_press": 100892.45, "g_temp": 23.27, "datetime": "2022-10-16T14:42:20Z", "fw_version": "0.4.1-gps-testing+git-7ae69c7" }
# Switched to mode: Climb
819992,464517130,-726734775,2125216,2160.658,65682,-3800,2830524,,27.43,78177,15
820048,464517421,-726734548,2125425,2161.7344,65453,-3824,2832739,,27.43,78167,15
820104,464517711,-726734321,2125659,2162.7727,65339,-4053,2841292,,27.43,78157,15
820160,464518001,-726734095,2125876,2162.373,65359,-3904,2822519,,27.43,78161,15
820216,464518293,-726733868,2126090,2162.903,65650,-3884,2835371,,27.43,78156,15
820272,464518583,-726733640,2126300,2163.7158,65565,-3961,2845027,,27.43,78149,15
820328,464518876,-726733412,2126511,2164.409,65828,-3658,2825713,,27.43,78142,15
820384,464519167,-726733186,2126710,2165.091,65638,-3905,2825725,,27.43,78136,15
820440,464519459,-726732956,2126925,2165.5967,65871,-4354,2855743,,27.43,78131,15
820496,464519751,-726732727,2127134,2165.5967,65854,-4327,2855517,,27.43,78131,15
820552,464520040,-726732499,2127390,2165.999,65392,-4104,2848183,,27.43,78127,15
820608,464520333,-726732271,2127577,2166.548,65717,-4086,2843102,,27.43,78122,15
820664,464520625,-726732044,2127763,2167.263,65769,-4065,2833485,,27.43,78115,15
820720,464520917,-726731816,2127980,2167.9316,65796,-4017,2844822,,27.43,78109,15
820776,464521209,-726731589,2128173,2168.4617,65658,-3552,2828655,,27.43,78104,15
820832,464521501,-726731360,2128391,2168.6682,65750,-4007,2841939,,27.43,78102,15
820888,464521793,-726731131,2128640,2168.2278,65902,-4213,2840119,,27.43,78106,15
820944,464522085,-726730902,2128863,2168.2224,65958,-4360,2855043,,27.43,78106,15
821000,464522376,-726730675,2129036,2169.1929,65526,-4157,2844950,,27.43,78097,15
821056,464522668,-726730446,2129216,2169.1929,65816,-4341,2861767,,27.43,78097,15
821112,464522958,-726730219,2129413,2169.9268,65496,-4082,2852626,,27.43,78090,15
821168,464523248,-726729991,2129679,2170.56,65522,-4201,2840062,,27.43,78084,15
821224,464523541,-726729760,2129949,2170.166,66149,-4446,2863711,,27.44,78088,15
821280,464523835,-726729529,2130202,2170.3044,66331,-4299,2849161,,27.44,78087,15
821336,464524129,-726729298,2130440,2170.753,66401,-3985,2848455,,27.44,78082,15
821392,464524421,-726729068,2130656,2171.3672,66071,-4067,2847308,,27.43,78077,15
821448,464524712,-726728839,2130878,2171.465,65715,-4506,2859944,,27.43,78076,15
821504,464525002,-726728611,2131118,2171.4924,65635,-4439,2847154,,27.43,78075,15
821560,464525293,-726728381,2131343,2171.2559,65763,-4242,2870423,,27.44,78078,15
821616,464525587,-726728153,2131584,2171.2559,66025,-4388,2834051,,27.44,78078,15
821672,464525880,-726727924,2131831,2171.745,66020,-4449,2836580,,27.43,78073,15
821728,464526172,-726727695,2132073,2172.0903,65860,-4424,2852912,,27.43,78070,15
821784,464526464,-726727466,2132330,2172.479,65984,-4404,2841256,,27.43,78066,15
821840,464526757,-726727236,2132586,2172.7263,66024,-4509,2851956,,27.44,78064,15
821896,464527046,-726727006,2132810,2173.1667,65599,-4655,2884788,,27.44,78060,15
821952,464527337,-726726777,2133025,2173.4385,65838,-4465,2862759,,27.44,78057,15
822008,464527631,-726726547,2133281,2173.6477,66297,-4544,2849469,,27.44,78055,15
822064,464527924,-726726317,2133512,2173.8516,66023,-4146,2855127,,27.44,78053,15
822120,464528220,-726726089,2133756,2174.2024,66302,-4424,2815753,,27.44,78050,15
822176,464528513,-726725859,2133972,2174.2024,66097,-4140,2849994,,27.44,78050,15
822232,464528804,-726725629,2134190,2174.292,65922,-4048,2868381,,27.44,78049,15
822288,464529098,-726725399,2134436,2174.5286,66193,-4528,2853266,,27.44,78047,15
822344,464529392,-726725168,2134676,2174.86,66356,-4572,2850580,,27.44,78044,15
822400,464529686,-726724939,2134897,2175.072,66211,-4287,2853300,,27.44,78042,15
822456,464529979,-726724707,2135106,2175.2026,66164,-4160,2869030,,27.44,78040,15
822512,464530273,-726724478,2135344,2175.3875,66065,-4416,2845465,,27.44,78039,15
822568,464530566,-726724248,2135591,2175.7544,66227,-4400,2853842,,27.44,78035,15
